valid_time,Wind_Speed_10m_Mean_24h,Temperature_Air_2m_Max_24h,Temperature_Air_2m_Mean_24h,Temperature_Air_2m_Min_24h,Cloud_Cover_Mean_24h,Derived_Relative_Humidity_2m_Max_24h,Derived_Relative_Humidity_2m_Min_24h,Precipitation_Flux,ReferenceET_PenmanMonteith_FAO56,Solar_Radiation_Flux,Vapour_Pressure_Mean_24h,Vapour_Pressure_Deficit_at_Maximum_Temperature,latitude,longitude
03-04-1979,2.4290411,309.5344,302.981,295.69083,0.18137625,54.29066,14.0634165,0,7.004195,2.64E+07,10.910825,49.76368,13.8,77.6
04-04-1979,1.9948366,308.43704,302.72015,295.65237,0.47354558,70.8023,19.16363,0,6.1604614,2.45E+07,14.2199335,42.905106,13.8,77.6
05-04-1979,1.9705895,308.41776,303.02515,296.35446,0.2362631,67.0412,22.164135,0,6.1807294,2.46E+07,14.592027,42.47227,13.8,77.6
06-04-1979,2.3102844,309.792,304.09518,297.2602,0.25931725,46.352974,16.759848,0,6.876697,2.58E+07,12.268357,49.266495,13.8,77.6
07-04-1979,3.4215515,310.012,303.85577,297.48914,0.118605025,50.76297,9.6389,0,8.070309,2.58E+07,10.429615,51.848427,13.8,77.6
08-04-1979,3.316908,309.9957,303.20303,294.96667,0.053867474,59.538544,9.683818,0,8.050392,2.74E+07,10.35708,51.865646,13.8,77.6
09-04-1979,3.0836945,310.17368,302.98904,295.29962,0.05424861,58.10537,8.795375,0,7.881839,2.75E+07,10.062404,52.76674,13.8,77.6
10-04-1979,2.8283079,309.92398,302.8446,295.5126,0.107516624,62.60994,12.223698,0,7.510618,2.70E+07,11.209724,50.770092,13.8,77.6
11-04-1979,2.1005929,308.37396,302.34167,295.51724,0.56553996,60.155373,18.47561,0,6.0497785,2.26E+07,13.687376,43.239204,13.8,77.6
12-04-1979,1.8853201,308.70328,302.3805,295.73715,0.22788648,77.86809,19.693441,0,5.8840847,2.31E+07,15.701258,42.267975,13.8,77.6
13-04-1979,3.1495728,309.06506,303.3877,297.07764,0.16444726,64.101166,14.983168,0,7.46627,2.52E+07,13.6072855,45.526405,13.8,77.6
14-04-1979,3.1856232,309.32346,302.61322,295.3885,0.090472564,79.29824,10.953112,0,7.5971313,2.70E+07,14.175989,45.801758,13.8,77.6
15-04-1979,1.8749502,308.53552,302.52094,296.4326,0.19412506,71.05582,20.76066,0,6.083968,2.44E+07,15.2850275,42.151016,13.8,77.6
16-04-1979,2.4156358,307.8273,300.71658,296.2514,0.30787128,71.78836,27.553904,2.02,6.174551,2.36E+07,18.512373,36.719337,13.8,77.6
17-04-1979,1.9189758,307.07327,300.13074,295.21228,0.44131267,79.18174,32.80272,3.84,5.636374,2.36E+07,20.832518,32.133286,13.8,77.6
18-04-1979,1.7439857,307.969,300.94797,294.6463,0.54412544,90.1187,24.29446,0.87,5.51514,2.30E+07,20.324104,35.34264,13.8,77.6
19-04-1979,1.3980688,307.8021,302.12903,295.47305,0.43656108,88.46288,22.00676,0,5.442082,2.35E+07,16.672121,38.4825,13.8,77.6
20-04-1979,1.727714,307.33316,302.67477,295.99835,0.3269361,70.08223,27.218058,0.15,5.591048,2.29E+07,17.257952,36.479553,13.8,77.6
21-04-1979,1.9847698,307.60043,302.5731,296.72543,0.3428137,80.31423,24.430376,0.07,5.671151,2.18E+07,17.587387,36.953896,13.8,77.6
22-04-1979,2.553446,309.60382,303.24988,296.56705,0.2533257,82.36134,17.082779,0,6.5405583,2.29E+07,13.872784,47.032555,13.8,77.6
23-04-1979,2.3202324,309.69388,303.90665,296.49237,0.256624,81.594505,14.701313,0,6.7662144,2.52E+07,13.726864,47.479084,13.8,77.6
24-04-1979,2.3864312,310.28833,303.9093,296.75067,0.34096244,67.56422,13.309566,0,6.7871485,2.40E+07,12.759056,50.46343,13.8,77.6
25-04-1979,2.6937346,310.34293,303.75146,295.7749,0.1662188,60.234024,13.034791,0,7.3471975,2.62E+07,12.13142,51.27915,13.8,77.6
26-04-1979,2.599141,309.14734,303.1081,296.37738,0.20437147,65.373665,19.182127,0,6.9851227,2.58E+07,14.561217,44.840103,13.8,77.6
27-04-1979,2.1850355,308.47534,303.00644,296.3299,0.2546953,66.39426,18.584818,0.01,6.331142,2.39E+07,14.1856,43.060207,13.8,77.6
28-04-1979,2.2009022,308.65326,303.01712,296.2418,0.23490581,80.839874,20.250835,0,6.19751,2.33E+07,16.213427,41.596367,13.8,77.6
29-04-1979,2.5886867,308.80762,303.00775,297.5598,0.32803962,65.20761,24.602743,0.12,6.440441,2.26E+07,17.28938,41.01361,13.8,77.6
30-04-1979,2.4157703,310.04083,302.91547,296.24426,0.26667786,85.06713,23.829,0.4,6.569465,2.45E+07,19.220304,43.15571,13.8,77.6
01-05-1979,1.9794918,308.9693,303.1241,296.92822,0.39636236,68.24695,29.260723,0.34,6.119529,2.40E+07,18.099365,40.72413,13.8,77.6
02-05-1979,2.5078855,309.21,302.53558,297.8546,0.64652777,61.58822,28.68431,2.2,6.5239387,2.36E+07,19.35716,40.24868,13.8,77.6
03-05-1979,2.1619687,309.14282,303.57352,296.81546,0.85890484,83.189316,18.56362,0.07,6.1258645,2.29E+07,18.011719,41.374893,13.8,77.6
04-05-1979,2.7126195,309.08154,303.42502,297.95453,0.76859397,73.0176,18.359224,0,6.607802,2.26E+07,17.16194,42.02527,13.8,77.6
